Date,5d_close_pct,ma14,rsi14,ma30,rsi30,ma50,rsi50,ma200,rsi200,Adj_Volume_1d_change,Adj_Volume_1d_change_SMA,weekday_1,weekday_2,weekday_3,weekday_4
2017-01-31,0.043812,0.950697,62.968946,0.918657,60.655749,0.895731,57.951677,0.839267,53.695377, -0.175332, -0.000664,1,0,0,0
2017-02-01, -0.023429,0.967486,60.156019,0.932427,59.159791,0.910110,57.041713,0.850150,53.487663, -0.040125, -0.165783,0,1,0,0
2017-02-02, -0.021618,0.932220,66.659314,0.895486,62.988478,0.873379,59.662227,0.812956,54.209475,0.501912, -0.081419,0,0,1,0
2017-02-03,0.007336,0.938976,66.920059,0.899461,63.148741,0.875497,59.774509,0.812490,54.241479,0.349442,0.108332,0,0,0,1
2017-02-06,0.022129,0.964080,62.059184,0.921608,60.623276,0.895860,58.236185,0.829234,53.889442, -0.497152,0.027749,0,0,0,0
2017-02-07,0.003358,0.985448,58.654992,0.939476,58.817869,0.911801,57.123212,0.842290,53.629901,0.206482,0.104112,1,0,0,0
2017-02-08,0.019321,0.989333,59.351015,0.940047,59.182360,0.911289,57.364214,0.839954,53.694867, -0.396927,0.032752,0,1,0,0
2017-02-09, -0.002838,0.974211,63.278848,0.922383,61.274321,0.893214,58.759765,0.821018,54.076387,0.129162, -0.041798,0,0,1,0
2017-02-10, -0.010115,0.987957,61.860468,0.931821,60.566775,0.902031,58.330493,0.826385,53.977901,0.017552, -0.108177,0,0,0,1
2017-02-13, -0.007423,1.007864,57.633333,0.951371,58.445466,0.919859,57.038536,0.840935,53.679362,0.328370,0.056928,0,0,0,0
2017-02-14,0.001464,1.012815,56.270493,0.961028,57.756748,0.927607,56.617400,0.846441,53.581340, -0.330567, -0.050482,1,0,0,0
2017-02-15, -0.006665,1.012761,55.242456,0.968589,57.246777,0.933995,56.307391,0.850726,53.509576, -0.189940, -0.009085,0,1,0,0
2017-02-16, -0.047774,1.027739,50.773413,0.988898,54.999334,0.953096,54.934277,0.867174,53.189276,0.274204,0.019924,0,0,1,0
2017-02-17, -0.045371,1.029468,50.105779,0.993263,54.659823,0.957692,54.726004,0.870750,53.140383, -0.314820, -0.046551,0,0,0,1
2017-02-21, -0.016203,1.014901,53.404892,0.981363,56.062710,0.946833,55.585140,0.859987,53.355845,0.840780,0.055931,1,0,0,0
2017-02-22, -0.013784,1.018092,52.598183,0.986658,55.678854,0.951576,55.354278,0.863956,53.302792, -0.058787,0.110287,0,1,0,0
2017-02-23, -0.007129,1.012310,53.303557,0.986765,55.968453,0.950796,55.529286,0.863189,53.346084, -0.239773,0.100321,0,0,1,0
2017-02-24,0.013237,1.006998,53.928288,0.987365,56.218859,0.950472,55.679292,0.862660,53.382837,0.603224,0.166125,0,0,0,1
2017-02-27,0.047099,0.977743,61.281653,0.961794,59.369720,0.924670,57.602910,0.838741,53.864335,0.284790,0.286047,0,0,0,0
2017-02-28,0.014569,0.995600,55.612249,0.982199,56.859017,0.943896,56.128560,0.855136,53.534732, -0.168210,0.084249,1,0,0,0
2017-03-01,0.016518,0.996622,55.291973,0.986222,56.714766,0.947138,56.043461,0.857486,53.515597, -0.090770,0.077852,0,1,0,0
2017-03-02, -0.014361,1.021167,47.461894,1.017077,53.013795,0.975787,53.828283,0.883169,53.009082, -0.160995,0.093608,0,0,1,0
2017-03-03,0.000843,1.001173,52.027587,1.002716,54.913205,0.961213,54.961894,0.869002,53.286388, -0.344096, -0.095856,0,0,0,1
2017-03-06, -0.027806,0.999234,52.296530,1.004669,55.026502,0.963020,55.029764,0.869531,53.303072, -0.443526, -0.241519,0,0,0,0
2017-03-07, -0.020604,1.008394,49.375159,1.017963,53.659508,0.975465,54.212804,0.880091,53.116224,0.715758, -0.064726,1,0,0,0
2017-03-08, -0.060625,1.048332,39.758958,1.062024,48.634543,1.019783,51.100564,0.919789,52.374396,0.791432,0.111715,0,1,0,0
2017-03-09, -0.037497,1.049246,39.052140,1.063587,48.231342,1.025142,50.843546,0.924574,52.311034, -0.103540,0.123206,0,0,1,0
2017-03-10, -0.041053,1.032915,43.089878,1.045313,49.826010,1.012531,51.761036,0.913176,52.524950, -0.245322,0.142960,0,0,0,1
2017-03-13, -0.033438,1.021525,45.615025,1.033732,50.845386,1.005104,52.351627,0.906369,52.663830, -0.186755,0.194315,0,0,0,0
2017-03-14, -0.056524,1.052880,38.597531,1.067763,47.080429,1.041505,49.976072,0.939467,52.081227,0.365967,0.124356,1,0,0,0
2017-03-15, -0.004657,1.037688,41.575828,1.054286,48.298990,1.031903,50.678755,0.930769,52.244599, -0.033246, -0.040579,0,1,0,0
2017-03-16,0.009127,1.024030,44.303344,1.042518,49.428351,1.022974,51.332734,0.922985,52.397513, -0.250896, -0.070051,0,0,1,0
2017-03-17,0.001756,1.012163,46.109600,1.032961,50.178900,1.017401,51.767794,0.918384,52.499422,0.344293,0.047872,0,0,0,1
2017-03-20, -0.030244,1.030658,41.044639,1.053893,47.596888,1.041651,50.151375,0.941410,52.103319,0.322598,0.149743,0,0,0,0
2017-03-21, -0.014865,1.043259,37.565067,1.070264,45.692407,1.060887,48.930640,0.960461,51.795783, -0.417744, -0.006999,1,0,0,0
2017-03-22, -0.020499,1.033634,39.040237,1.061988,46.281776,1.055632,49.264656,0.956828,51.871458, -0.049615, -0.010273,0,1,0,0
2017-03-23, -0.017869,1.015852,42.748345,1.046017,47.774229,1.042880,50.112159,0.945795,52.063978,0.660815,0.172069,0,0,1,0
2017-03-24, -0.013807,1.000968,45.792099,1.031756,49.029885,1.032489,50.830538,0.936568,52.228593, -0.229691,0.057273,0,0,0,1
2017-03-27,0.014135,0.993600,47.055144,1.024440,49.552686,1.028681,51.129741,0.933381,52.297192,0.092195,0.011192,0,0,0,0
2017-03-28,0.042067,0.986084,49.464447,1.014027,50.549622,1.021040,51.699575,0.926845,52.427639, -0.084515,0.077838,1,0,0,0
2017-03-29,0.060055,0.967075,55.339270,0.990916,53.122017,0.999944,53.194408,0.907991,52.776014,0.649104,0.217582,0,1,0,0
2017-03-30,0.033917,0.979796,51.720820,1.001984,51.571156,1.013721,52.271924,0.920705,52.559843, -0.553191, -0.025220,0,0,1,0
2017-03-31,0.050444,0.956073,58.134111,0.976003,54.556796,0.989088,54.041147,0.898052,52.980918,1.904699,0.401658,0,0,0,1
2017-04-03,0.040929,0.964567,56.695138,0.980808,53.946388,0.995324,53.680898,0.903734,52.897199, -0.353894,0.312440,0,0,0,0
2017-04-04,0.041027,0.960304,58.696960,0.972603,54.895573,0.988784,54.246761,0.897479,53.032816,0.038668,0.337077,1,0,0,0
2017-04-05,0.003648,0.976465,54.117054,0.986423,52.975429,1.003639,53.121014,0.911765,52.773215, -0.177568,0.171742,0,1,0,0
2017-04-06,0.031718,0.964459,57.865784,0.971566,54.710591,0.988111,54.149061,0.899211,53.017948, -0.391436,0.204094,0,0,1,0
2017-04-07,0.003385,0.969986,57.444587,0.972774,54.537111,0.988100,54.048273,0.901612,52.994948, -0.257159, -0.228278,0,0,0,1
2017-04-10,0.029756,0.956509,62.448650,0.951978,56.938377,0.967042,55.485555,0.883743,53.340788,0.498846, -0.057730,0,0,0,0
2017-04-11,0.020021,0.964050,62.063386,0.953202,56.786281,0.968434,55.398881,0.886061,53.321461, -0.193181, -0.104100,1,0,0,0
2017-04-12,0.026513,0.977073,59.005598,0.960953,55.588121,0.976451,54.718569,0.894744,53.170431,1.286950,0.188804,0,1,0,0
2017-04-13, -0.013687,1.004285,50.903050,0.985077,52.171853,1.000730,52.736083,0.918356,52.720200, -0.104001,0.246291,0,0,1,0
2017-04-17, -0.014759,1.008988,50.205031,0.986846,51.861862,1.001973,52.553417,0.921556,52.678052, -0.181017,0.261519,0,0,0,0
2017-04-18, -0.031579,1.006942,51.443586,0.982403,52.367569,0.996846,52.841319,0.918822,52.743636,0.385576,0.238865,1,0,0,0
2017-04-19, -0.054545,1.031156,44.213062,1.006359,49.109202,1.020918,50.916552,0.942891,52.298891,0.731983,0.423898,0,1,0,0
2017-04-20, -0.041866,1.025730,45.907076,1.001768,49.778020,1.014804,51.291128,0.938935,52.382382, -0.601305,0.046247,0,0,1,0
2017-04-21, -0.024979,1.030639,43.931700,1.009554,48.864561,1.021112,50.747755,0.946666,52.255988,0.041638,0.075375,0,0,0,1
2017-04-24, -0.016478,1.022442,46.125622,1.003481,49.703625,1.013264,51.211238,0.941657,52.357519,0.178270,0.147232,0,0,0,0
2017-04-25, -0.012361,1.012347,48.944748,0.995526,50.797997,1.003837,51.817495,0.934872,52.490570, -0.383182, -0.006519,1,0,0,0
2017-04-26,0.006556,1.017400,46.993428,1.002779,49.969237,1.009036,51.337846,0.941457,52.382237, -0.197922, -0.192500,0,1,0,0
